UNIPROT	TARGET	DRUG
Q15172	T57291	D0W4IL
P01911	T44068	D0JP4H
P01911	T44068	D0A9ED
P01911	T44068	D0D6AC
P01911	T44068	D0J2CR
P01911	T44068	D03BZW
P01911	T44068	D04JGC
P01911	T44068	D02QPP
P01911	T44068	D0A4FU
P01911	T44068	D04HXF
P01911	T44068	D0L5MW
P01911	T44068	D0T2RY
P01911	T44068	D0XX5S
P01911	T44068	D0F7BV
P01911	T44068	D0CY4V
P01911	T44068	D01VAB
P01911	T44068	D0I2XM
P01911	T44068	D0P9KA
P01911	T44068	D0P5FA
P01911	T44068	D0H9MA
P01911	T44068	D05NZV
P01911	T44068	D03MZJ
P01911	T44068	D00IUG
P01911	T44068	D03XTC
P01911	T44068	D03ROX
P01911	T44068	D04VMT
P01911	T44068	D0L5FY
P01911	T44068	D07MOX
P01911	T44068	D0F2PO
P01911	T44068	D03GCJ
P01911	T44068	D04PHC
P01911	T44068	D05UVD
P01911	T44068	D04JEE
P01911	T44068	D0J7RK
P01911	T44068	D06KYN
P01911	T44068	D0W8SB
P01911	T44068	D02YYF
P01911	T44068	D0KD1U
P01911	T44068	D0Z1UA
P01911	T44068	D0I2MK
P01911	T44068	D01UXC
P01911	T44068	D0K3ZR
P01911	T44068	D0HD9K
P01911	T44068	D0X2MB
P01911	T44068	D01JFT
P01911	T44068	D0A6CQ
P01911	T44068	D05ZJG
P01911	T44068	D06VFO
P01911	T44068	D01JGV
P01911	T44068	D0I8FI
P01911	T44068	D02FCQ
P01911	T44068	D05SHK
P01911	T44068	D04YJU
P14060	T40628	D06LVG
P14060	T40628	D0M8RO
P14060	T40628	D0T5MO
P14060	T40628	D08WDY
P14060	T40628	D0Q5FV
P14060	T40628	D09SWM
P14060	T40628	D05ZPJ
Q13542	T80011	D0FI9M
Q13542	T80011	D0W3RV
Q13542	T80011	D0QE7H
Q13542	T80011	D08HQI
P08195	T46263	D0OQ5R
P08908	T78709	D0XK0T
P08908	T78709	D06FKC
P08908	T78709	D04YJO
P08908	T78709	D0P1XQ
P08908	T78709	D03ICS
P08908	T78709	D0C5GF
P08908	T78709	D0Z7KW
P08908	T78709	D06BYY
P08908	T78709	D0D9YW
P08908	T78709	D0QM3E
P08908	T78709	D0R3GW
P08908	T78709	D03DET
P08908	T78709	D0W1HM
P08908	T78709	D0MU4A
P08908	T78709	D01HRV
P08908	T78709	D0KJ4Q
P08908	T78709	D0Z1OF
P08908	T78709	D0U0VH
P08908	T78709	D00GSD
P08908	T78709	D0X4PH
P08908	T78709	D0CK9K
P08908	T78709	D0T4PS
P08908	T78709	D07XUM
P08908	T78709	D07GXY
P08908	T78709	D0MA8C
P08908	T78709	D03FKF
P08908	T78709	D0K0FI
P08908	T78709	D0O3GF
P08908	T78709	D0Y4MC
P08908	T78709	D00FHZ
P08908	T78709	D0G7NW
P08908	T78709	D0E1PL
P08908	T78709	D0Z1LY
P08908	T78709	D0H3YR
P08908	T78709	D03TDN
P08908	T78709	D04TVG
P08908	T78709	D0J3ZK
P08908	T78709	D0O8QJ
P08908	T78709	D00XVV
P08908	T78709	D02UWB
P08908	T78709	D07LRJ
P08908	T78709	D0M2ZE
P08908	T78709	D0F6CD
P08908	T78709	D08BCF
P08908	T78709	D0V3XU
P08908	T78709	D09WIL
P08908	T78709	D05EQG
P08908	T78709	D03ESA
P08908	T78709	D02CTZ
P08908	T78709	D0V4RP
P08908	T78709	D06VPR
P08908	T78709	D0D2PL
P08908	T78709	D0R5WX
P08908	T78709	D05CGI
P08908	T78709	D04ZMS
