drug	d	z_score	mean_d_random	sd_random
D0W4IL	1.5	1.225	1.2	0.245
D0FI9M	1.0	-1.069	1.8	0.748
D0W3RV	1.0	-1.069	1.8	0.748
D0QE7H	1.0	-1.069	1.8	0.748
D08HQI	1.0	-1.069	1.8	0.748
D0OQ5R	1.0	-0.905	1.6	0.663
D0XK0T	3.0	2.858	1.6	0.49
D06FKC	2.333	2.287	1.7	0.277
D04YJO	3.0	2.858	1.6	0.49
D0P1XQ	2.25	1.414	1.75	0.354
D03ICS	3.0	2.858	1.6	0.49
D0C5GF	2.4	2.236	2.0	0.179
D0Z7KW	3.0	2.858	1.6	0.49
D06BYY	3.0	2.858	1.6	0.49
D0D9YW	2.333	2.274	1.883	0.198
D0QM3E	2.667	3.491	1.7	0.277
D0R3GW	2.667	3.491	1.7	0.277
D03DET	2.667	3.491	1.7	0.277
D0W1HM	2.0	1.093	1.825	0.16
D0MU4A	2.25	2.043	1.975	0.135
D01HRV	2.667	3.491	1.7	0.277
D0KJ4Q	3.0	2.858	1.6	0.49
D0Z1OF	2.333	2.655	1.767	0.213
D0U0VH	3.0	2.858	1.6	0.49
D00GSD	2.5	2.236	1.75	0.335
D0X4PH	2.333	2.655	1.767	0.213
D0CK9K	2.75	2.109	2.025	0.344
D0T4PS	2.5	1.166	1.95	0.472
D07XUM	3.0	2.858	1.6	0.49
D07GXY	2.0	1.264	1.66	0.269
D0MA8C	3.0	2.858	1.6	0.49
D03FKF	3.0	2.858	1.6	0.49
D0K0FI	2.667	3.491	1.7	0.277
D0O3GF	2.667	3.491	1.7	0.277
D0Y4MC	2.6	3.528	1.84	0.215
D00FHZ	3.0	2.858	1.6	0.49
D0G7NW	2.333	1.664	1.9	0.26
D0E1PL	3.0	2.858	1.6	0.49
D0Z1LY	3.0	2.858	1.6	0.49
D0H3YR	3.0	2.858	1.6	0.49
D03TDN	2.429	3.528	1.886	0.154
D04TVG	2.375	3.651	1.875	0.137
D0J3ZK	2.5	2.0	1.9	0.3
D0O8QJ	2.5	2.0	1.9	0.3
D00XVV	3.0	2.858	1.6	0.49
D02UWB	2.375	3.651	1.875	0.137
D07LRJ	2.0	1.238	1.725	0.222
D0M2ZE	2.0	1.093	1.825	0.16
D0F6CD	2.25	2.739	1.875	0.137
D08BCF	2.167	2.236	1.833	0.149
D0V3XU	2.333	1.904	1.883	0.236
D09WIL	3.0	2.858	1.6	0.49
D05EQG	2.0	1.441	1.743	0.178
D03ESA	3.0	2.858	1.6	0.49
D02CTZ	3.0	2.858	1.6	0.49
D0V4RP	2.333	2.231	1.85	0.217
D06VPR	2.4	1.545	2.06	0.22
D0D2PL	3.0	3.671	1.933	0.291
D0R5WX	2.5	2.236	1.75	0.335
D05CGI	3.0	2.858	1.6	0.49
D04ZMS	2.5	2.236	1.75	0.335
D04JZJ	3.0	2.858	1.6	0.49
D03LDH	3.0	2.858	1.6	0.49
D00VHW	2.5	2.236	1.75	0.335
D07GQP	2.0	2.858	1.767	0.082
D0W2YN	2.5	4.217	1.825	0.16
D0PN8D	2.667	3.491	1.7	0.277
D06ROA	2.0	1.118	1.8	0.179
D02NNS	2.0	0.655	1.85	0.229
D0O4BC	2.0	1.093	1.825	0.16
D08EFH	2.25	1.464	1.875	0.256
D0S8KA	2.25	1.464	1.875	0.256
D0I0ML	3.0	2.858	1.6	0.49
D0Y9TL	2.5	1.917	1.85	0.339
D08VGJ	2.4	2.236	2.0	0.179
D03ZHB	2.5	1.0	2.0	0.5
D0LG8A	2.333	1.946	1.917	0.214
D07ROK	3.0	2.858	1.6	0.49
D06FWM	3.0	2.858	1.6	0.49
D0K6XD	3.0	2.858	1.6	0.49
D0XX2U	2.667	2.226	1.967	0.314
D04TPO	2.667	2.226	1.967	0.314
D09MGF	2.5	2.236	1.75	0.335
D0A7AK	2.5	2.236	1.75	0.335
D0RQ8R	2.5	2.236	1.75	0.335
D00JJO	2.5	2.236	1.75	0.335
D04TQF	2.5	2.236	1.75	0.335
D01KAX	2.143	1.095	1.9	0.222
D01WWC	3.0	2.858	1.6	0.49
D06DSX	3.0	2.858	1.6	0.49
D00UIN	2.0	1.874	1.4	0.32
D07IWZ	2.5	2.0	1.7	0.4
D02YCY	2.5	2.0	1.7	0.4
D0KX3X	2.333	2.655	1.767	0.213
D0CA9H	2.5	2.236	1.75	0.335
D04ZPF	2.2	2.245	1.76	0.196
D00DEH	2.2	2.245	1.76	0.196
D01MBF	2.2	2.245	1.76	0.196
D0F9QT	2.154	1.211	1.977	0.146
D0M3TK	2.2	2.245	1.76	0.196
