SARS,EntrezID,Symbol,UniprotID
sars-cov2e,8546,AP3B1,Q8TAD8
sars-cov2e,23476,BRD4,Q9NYU1
sars-cov2e,6046,BRD2,Q13546
sars-cov2e,10283,CWC27,Q9NXH9
sars-cov2e,124245,ZC3H18,Q8WVC6
sars-cov2e,57153,SLC44A2,P11233
sars-cov2m,9512,PMPCB,Q13868
sars-cov2m,10897,YIF1A,P0C7P0
sars-cov2m,481,ATP1B1,P00387
sars-cov2m,34,ACADM,P61916
sars-cov2m,2108,ETFA,Q8TD19
sars-cov2m,2040,STOM,Q5EBL8
sars-cov2m,2677,GGCX,Q6ZRP7
sars-cov2m,523,ATP6V1A,Q6NXT4
sars-cov2m,5714,PSMD8,Q6NXT6
sars-cov2m,7905,REEP5,O95573
sars-cov2m,23203,PMPCA,Q8IWF2
sars-cov2m,196527,ANO6,Q15370
sars-cov2m,10531,PITRM1,Q9BW92
sars-cov2m,10463,SLC30A9,Q9NR30
sars-cov2m,60493,FASTKD5,Q2M389
sars-cov2m,148867,SLC30A7,Q9NXA8
sars-cov2m,10426,TUBGCP3,Q8IWA5
sars-cov2m,79934,COQ8B,Q9NZL9
sars-cov2m,113174,SAAL1,P61106
sars-cov2m,92840,REEP6,Q9ULT8
sars-cov2m,92105,INTS4,Q96HW7
sars-cov2m,89874,SLC25A21,Q7L2J0
sars-cov2m,10844,TUBGCP2,Q7L8L6
sars-cov2m,80222,TARS2,Q96DZ1
sars-cov2m,57142,RTN4,Q96N16
sars-cov2m,51439,FAM8A1,Q4KMQ2
sars-cov2m,10157,AASS,P19784
sars-cov2m,26993,AKAP8L,Q96IZ5
sars-cov2m,25980,AAR2,P52306
sars-cov2m,28969,BZW2,Q8TD10
sars-cov2n,9136,RRP9,Q7KZI7
sars-cov2n,26986,PABPC1,Q9H7Z7
sars-cov2n,1459,CSNK2A2,Q8N0Z8
sars-cov2n,1460,CSNK2B,P55789
sars-cov2n,10146,G3BP1,P07203
sars-cov2n,8761,PABPC4,Q6UX04
sars-cov2n,23367,LARP1,Q9BQS8
sars-cov2n,25940,FAM98A,Q92552
sars-cov2n,79753,SNIP1,Q7LGA3
sars-cov2n,5976,UPF1,Q86UT6
sars-cov2n,4343,MOV10,O94973
sars-cov2n,9908,G3BP2,P49643
sars-cov2n,9188,DDX21,Q9UBU6
sars-cov2n,55131,RBM28,Q86VM9
sars-cov2n,25873,RPL36,Q8IWR0
